,capacity_kw,provider,pv_system_id
10003,3357.0,pvoutput.org,10003
10012,4035.0,pvoutput.org,10012
10020,4059.0,pvoutput.org,10020
10033,4008.0,pvoutput.org,10033
10041,4404.0,pvoutput.org,10041
10078,3540.0,pvoutput.org,10078
10104,3420.0,pvoutput.org,10104
10125,3000.0,pvoutput.org,10125
10154,5969.0,pvoutput.org,10154
10156,4610.0,pvoutput.org,10156
10232,2761.0,pvoutput.org,10232
10246,5825.0,pvoutput.org,10246
10332,4284.0,pvoutput.org,10332
10333,2222.0,pvoutput.org,10333
10334,3024.0,pvoutput.org,10334
10370,3984.0,pvoutput.org,10370
10377,4188.0,pvoutput.org,10377
10387,3000.0,pvoutput.org,10387
10427,11100.0,pvoutput.org,10427
10455,427.0,pvoutput.org,10455
10493,2220.0,pvoutput.org,10493
10509,3792.0,pvoutput.org,10509
10510,3660.0,pvoutput.org,10510
10534,3613.0,pvoutput.org,10534
10589,4848.0,pvoutput.org,10589
10593,2760.0,pvoutput.org,10593
10606,4026.0,pvoutput.org,10606
10610,4159.0,pvoutput.org,10610
10674,5052.0,pvoutput.org,10674
10899,3300.0,pvoutput.org,10899
10903,3295.0,pvoutput.org,10903
10968,2578.0,pvoutput.org,10968
11144,4636.0,pvoutput.org,11144
11167,3204.0,pvoutput.org,11167
11225,2323.0,pvoutput.org,11225
11240,4113.0,pvoutput.org,11240
11259,3996.0,pvoutput.org,11259
11514,3960.0,pvoutput.org,11514
11515,8364.0,pvoutput.org,11515
11516,5496.0,pvoutput.org,11516
11542,50634.0,pvoutput.org,11542
11610,5820.0,pvoutput.org,11610
11683,5503.0,pvoutput.org,11683
11790,2772.0,pvoutput.org,11790
11812,4257.0,pvoutput.org,11812
11842,2480.0,pvoutput.org,11842
11909,3000.0,pvoutput.org,11909
11942,5484.0,pvoutput.org,11942
12057,3362.0,pvoutput.org,12057
12084,13212.0,pvoutput.org,12084
12099,2280.0,pvoutput.org,12099
12290,4944.0,pvoutput.org,12290
12314,7586.0,pvoutput.org,12314
12322,3513.0,pvoutput.org,12322
12338,3318.0,pvoutput.org,12338
12384,4440.0,pvoutput.org,12384
12406,4920.0,pvoutput.org,12406
1241,1752.0,pvoutput.org,1241
12485,5868.0,pvoutput.org,12485
12486,4996.0,pvoutput.org,12486
12520,2004.0,pvoutput.org,12520
12570,3687.0,pvoutput.org,12570
12621,3004.0,pvoutput.org,12621
12698,4668.0,pvoutput.org,12698
12756,4973.0,pvoutput.org,12756
12820,3984.0,pvoutput.org,12820
12896,4020.0,pvoutput.org,12896
13034,3324.0,pvoutput.org,13034
13043,5174.0,pvoutput.org,13043
13044,4517.0,pvoutput.org,13044
13064,3617.0,pvoutput.org,13064
13120,3696.0,pvoutput.org,13120
13129,2418.0,pvoutput.org,13129
13152,3573.0,pvoutput.org,13152
13167,3936.0,pvoutput.org,13167
13215,5608.0,pvoutput.org,13215
13216,2400.0,pvoutput.org,13216
13333,4073.0,pvoutput.org,13333
13421,2574.0,pvoutput.org,13421
1344,4308.0,pvoutput.org,1344
13482,2796.0,pvoutput.org,13482
13484,2534.0,pvoutput.org,13484
13551,4401.0,pvoutput.org,13551
1364,3928.0,pvoutput.org,1364
13656,3696.0,pvoutput.org,13656
13663,3996.0,pvoutput.org,13663
13764,4476.0,pvoutput.org,13764
13859,5940.0,pvoutput.org,13859
13888,4932.0,pvoutput.org,13888
13917,4978.0,pvoutput.org,13917
13986,5016.0,pvoutput.org,13986
14266,4020.0,pvoutput.org,14266
14275,3683.0,pvoutput.org,14275
1446,2076.0,pvoutput.org,1446
14653,3617.0,pvoutput.org,14653
14735,3660.0,pvoutput.org,14735
14772,4884.0,pvoutput.org,14772
14776,3684.0,pvoutput.org,14776
14821,3618.0,pvoutput.org,14821
14841,6172.0,pvoutput.org,14841
1490,2004.0,pvoutput.org,1490
14985,3912.0,pvoutput.org,14985
1504,4944.0,pvoutput.org,1504
15124,4356.0,pvoutput.org,15124
15428,3492.0,pvoutput.org,15428
15542,5232.0,pvoutput.org,15542
15549,3696.0,pvoutput.org,15549
1556,3985.0,pvoutput.org,1556
15566,1356.0,pvoutput.org,15566
15709,2136.0,pvoutput.org,15709
15937,3542.0,pvoutput.org,15937
15972,4176.0,pvoutput.org,15972
15980,4182.0,pvoutput.org,15980
15999,4000.0,pvoutput.org,15999
1601,456.0,pvoutput.org,1601
16162,2038.0,pvoutput.org,16162
16241,4800.0,pvoutput.org,16241
1627,3780.0,pvoutput.org,1627
16316,3684.0,pvoutput.org,16316
16418,3424.0,pvoutput.org,16418
1643,3996.0,pvoutput.org,1643
1646,4980.0,pvoutput.org,1646
16465,3.0,pvoutput.org,16465
1647,2112.0,pvoutput.org,1647
16471,4380.0,pvoutput.org,16471
16662,3636.0,pvoutput.org,16662
16664,5956.0,pvoutput.org,16664
16667,4482.0,pvoutput.org,16667
16752,7248.0,pvoutput.org,16752
16971,4179.0,pvoutput.org,16971
17046,49260.0,pvoutput.org,17046
17186,2329.0,pvoutput.org,17186
17219,3948.0,pvoutput.org,17219
17245,2016.0,pvoutput.org,17245
1725,3546.0,pvoutput.org,1725
1727,5760.0,pvoutput.org,1727
17427,3276.0,pvoutput.org,17427
1746,3290.0,pvoutput.org,1746
17522,4008.0,pvoutput.org,17522
17559,3629.0,pvoutput.org,17559
17651,2940.0,pvoutput.org,17651
17699,2541.0,pvoutput.org,17699
17810,3376.0,pvoutput.org,17810
17881,4208.0,pvoutput.org,17881
17909,2254.0,pvoutput.org,17909
18037,3024.0,pvoutput.org,18037
18155,2353.0,pvoutput.org,18155
1819,2400.0,pvoutput.org,1819
18205,1800.0,pvoutput.org,18205
18225,3684.0,pvoutput.org,18225
18281,3767.0,pvoutput.org,18281
18283,2465.0,pvoutput.org,18283
18306,3296.0,pvoutput.org,18306
18320,4644.0,pvoutput.org,18320
18388,3996.0,pvoutput.org,18388
18446,9636.0,pvoutput.org,18446
18465,3616.0,pvoutput.org,18465
18468,3750.0,pvoutput.org,18468
18483,2459.0,pvoutput.org,18483
18537,3655.0,pvoutput.org,18537
18599,4140.0,pvoutput.org,18599
18695,2016.0,pvoutput.org,18695
18698,4093.0,pvoutput.org,18698
18715,4488.0,pvoutput.org,18715
1872,5720.0,pvoutput.org,1872
18750,5784.0,pvoutput.org,18750
18781,5657.0,pvoutput.org,18781
1883,2712.0,pvoutput.org,1883
1884,3000.0,pvoutput.org,1884
18841,4774.0,pvoutput.org,18841
1889,2904.0,pvoutput.org,1889
19018,2567.0,pvoutput.org,19018
19043,2974.0,pvoutput.org,19043
19048,7488.0,pvoutput.org,19048
19296,2559.0,pvoutput.org,19296
19321,2496.0,pvoutput.org,19321
19334,1213.0,pvoutput.org,19334
19379,3657.0,pvoutput.org,19379
19504,6000.0,pvoutput.org,19504
1962,5964.0,pvoutput.org,1962
1964,4440.0,pvoutput.org,1964
1974,2112.0,pvoutput.org,1974
19968,3633.0,pvoutput.org,19968
20046,3786.0,pvoutput.org,20046
20072,3828.0,pvoutput.org,20072
20146,5058.0,pvoutput.org,20146
2017,3228.0,pvoutput.org,2017
2018,3996.0,pvoutput.org,2018
20197,2004.0,pvoutput.org,20197
20241,4140.0,pvoutput.org,20241
20246,3636.0,pvoutput.org,20246
20351,4056.0,pvoutput.org,20351
20353,17.0,pvoutput.org,20353
20439,3012.0,pvoutput.org,20439
20471,2966.0,pvoutput.org,20471
20495,450.0,pvoutput.org,20495
20534,3024.0,pvoutput.org,20534
20582,5987.0,pvoutput.org,20582
20698,3588.0,pvoutput.org,20698
20730,2700.0,pvoutput.org,20730
20740,3088.0,pvoutput.org,20740
2078,2949.0,pvoutput.org,2078
20860,4008.0,pvoutput.org,20860
20973,5700.0,pvoutput.org,20973
2099,3228.0,pvoutput.org,2099
20990,3612.0,pvoutput.org,20990
21069,3132.0,pvoutput.org,21069
2108,4104.0,pvoutput.org,2108
21133,2004.0,pvoutput.org,21133
21153,3588.0,pvoutput.org,21153
21189,5437.0,pvoutput.org,21189
2119,4800.0,pvoutput.org,2119
21445,2508.0,pvoutput.org,21445
21537,3012.0,pvoutput.org,21537
2155,3024.0,pvoutput.org,2155
21570,3610.0,pvoutput.org,21570
21649,3850.0,pvoutput.org,21649
2173,3756.0,pvoutput.org,2173
2175,3012.0,pvoutput.org,2175
2176,5460.0,pvoutput.org,2176
2191,5569.0,pvoutput.org,2191
21988,5737.0,pvoutput.org,21988
21990,3135.0,pvoutput.org,21990
21995,4103.0,pvoutput.org,21995
22047,3816.0,pvoutput.org,22047
2213,4272.0,pvoutput.org,2213
22182,1650.0,pvoutput.org,22182
22192,2219.0,pvoutput.org,22192
22195,3672.0,pvoutput.org,22195
2221,2011.0,pvoutput.org,2221
22252,4421.0,pvoutput.org,22252
22357,2477.0,pvoutput.org,22357
2241,4908.0,pvoutput.org,2241
22455,3828.0,pvoutput.org,22455
2248,3012.0,pvoutput.org,2248
22528,3651.0,pvoutput.org,22528
2264,5052.0,pvoutput.org,2264
22655,3632.0,pvoutput.org,22655
22668,5004.0,pvoutput.org,22668
22677,3780.0,pvoutput.org,22677
2270,5922.0,pvoutput.org,2270
22778,5609.0,pvoutput.org,22778
2280,3996.0,pvoutput.org,2280
22850,5740.0,pvoutput.org,22850
2287,2760.0,pvoutput.org,2287
2290,3866.0,pvoutput.org,2290
22903,142140.0,pvoutput.org,22903
22934,3684.0,pvoutput.org,22934
23028,5016.0,pvoutput.org,23028
23049,4860.0,pvoutput.org,23049
23156,2941.0,pvoutput.org,23156
23236,3946.0,pvoutput.org,23236
2329,2033.0,pvoutput.org,2329
23332,2388.0,pvoutput.org,23332
23440,4824.0,pvoutput.org,23440
23537,2721.0,pvoutput.org,23537
23796,5364.0,pvoutput.org,23796
23803,3100.0,pvoutput.org,23803
23903,7428.0,pvoutput.org,23903
24027,4523.0,pvoutput.org,24027
24070,4067.0,pvoutput.org,24070
2420,34128.0,pvoutput.org,2420
24208,8748.0,pvoutput.org,24208
2421,2688.0,pvoutput.org,2421
24263,5127.0,pvoutput.org,24263
24268,5521.0,pvoutput.org,24268
24317,4116.0,pvoutput.org,24317
24379,4620.0,pvoutput.org,24379
24384,2064.0,pvoutput.org,24384
24408,2239.0,pvoutput.org,24408
24464,2283.0,pvoutput.org,24464
24486,3815.0,pvoutput.org,24486
24565,4141.0,pvoutput.org,24565
24599,3896.0,pvoutput.org,24599
24647,97668.0,pvoutput.org,24647
24667,1920.0,pvoutput.org,24667
24809,3354.0,pvoutput.org,24809
2484,3290.0,pvoutput.org,2484
