system_id,system_name,system_size_watts,postcode,orientation,num_outputs,last_output,panel,inverter,distance_km,latitude,longitude,query_latitude,query_longitude,query_grid_index
58270,Congo,6500,United Kingdom BT94,SW,0,No Outputs,Suntellite ZDNY-250P60,Enecsys,17.1,54.37,-7.54,54.220244027621725,-7.596602015979753,0
31577,per nefer,4000,United Kingdom BT94,N,330,147 weeks ago,Renesola Virtus II,SMA Sunny Boy 3600TL,17.1,54.37,-7.54,54.220244027621725,-7.596602015979753,0
31576,Rameses II,4000,United Kingdom BT94,S,0,No Outputs,Renesola Virtus II,SMA Sunnyboy 3600TL,17.1,54.37,-7.54,54.220244027621725,-7.596602015979753,0
25098,KandAsSolar,6500,United Kingdom BT78,SW,0,No Outputs,Sunmodule Plus SW,SMA Sunny Boy SB 5000TL,16.9,54.539064,-7.378755,54.53645768655056,-7.639920160571421,1
58270,Congo,6500,United Kingdom BT94,SW,0,No Outputs,Suntellite ZDNY-250P60,Enecsys,19.6,54.37,-7.54,54.53645768655056,-7.639920160571421,1
31577,per nefer,4000,United Kingdom BT94,N,330,147 weeks ago,Renesola Virtus II,SMA Sunny Boy 3600TL,19.6,54.37,-7.54,54.53645768655056,-7.639920160571421,1
31576,Rameses II,4000,United Kingdom BT94,S,0,No Outputs,Renesola Virtus II,SMA Sunnyboy 3600TL,19.6,54.37,-7.54,54.53645768655056,-7.639920160571421,1
22850,Killywatt,6500,United Kingdom BT79,SW,2481,Today,Rec,SMA,24.9,54.608854,-7.274394,54.53645768655056,-7.639920160571421,1
22850,Killywatt,6500,United Kingdom BT79,SW,2481,Today,Rec,SMA,12.7,54.608854,-7.274394,54.56067223408015,-7.095755330295176,2
49697,Lisgen Solar PV,4000,United Kingdom BT69,S,726,29 weeks ago,SOLFEX EP-250 P60-M,Solar River 4400TL,12.7,54.452049,-7.034757000000001,54.56067223408015,-7.095755330295176,2
35670,Rehaghy,6500,United Kingdom BT70,SW,397,229 weeks ago,Renesola,SMA Sunnyboy 5000TL,15.0,54.51,-6.88,54.56067223408015,-7.095755330295176,2
14841,Cullenrammer,6000,United Kingdom BT70,S,335,104 weeks ago,Hyundai,Fronius v IG 6,15.0,54.51,-6.88,54.56067223408015,-7.095755330295176,2
25098,KandAsSolar,6500,United Kingdom BT78,SW,0,No Outputs,Sunmodule Plus SW,SMA Sunny Boy SB 5000TL,18.4,54.539064,-7.378755,54.56067223408015,-7.095755330295176,2
28042,Carricklongfeild,4000,United Kingdom BT69,SE,0,No Outputs,Suntellite,Samil Power,18.6,54.42,-6.94,54.56067223408015,-7.095755330295176,2
20495,shedpv,440,United Kingdom BT80,S,608,222 weeks ago,Navitron 55w Framed Panel,Soladin 600,24.6,54.64,-6.74,54.56067223408015,-7.095755330295176,2
29060,fairyburn house,50,United Kingdom BT80,N,0,No Outputs,,Energy Monitor,24.6,54.64,-6.74,54.56067223408015,-7.095755330295176,2
58234,2.75kw of northern ireland,2750,United Kingdom BT80,S,0,No Outputs,Sharp,Unknown,24.6,54.64,-6.74,54.56067223408015,-7.095755330295176,2
31056,KillalooPV,4000,United Kingdom BT47,S,1813,Today,REC 250 PE,SMA Sunny Boy 3600TL,7.6,54.93849399999999,-7.1874910000000005,54.87712887460182,-7.13570854565991,3
29893,cams,4000,United Kingdom BT82,SW,1029,118 weeks ago,yingli,mastervolt xs4300,19.3,54.82,-7.42,54.87712887460182,-7.13570854565991,3
47069,SunNotWind,3990,United Kingdom BT49,SE,0,No Outputs,JA Solar JAM6(L)-60-285/PR,Trannergy,21.6,55.04,-6.95,54.87712887460182,-7.13570854565991,3
46009,Amberley Cottage1,6500,United Kingdom BT61,SE,0,No Outputs,Suntellite ZDNY-250P60,Solar River,12.5,54.36,-6.62,54.26569866566871,-6.515790541993778,4
16558,Ballintemple,6000,United Kingdom BT35,E,94,333 weeks ago,Ulica,SMA Sunny Boy 5000TL,12.7,54.16,-6.44,54.26569866566871,-6.515790541993778,4
24208,AV Annett 5.72kw,5720,United Kingdom BT32,SE,306,249 weeks ago,Q-Cell 260 Watts,SMA Sunny Boy 5000TL,16.8,54.340084,-6.290125,54.26569866566871,-6.515790541993778,4
33821,Lackan Cottage Farm,3200,United Kingdom BT32,S,0,No Outputs,BP 380,Victron Multiplus 3000/70,19.3,54.33,-6.24,54.26569866566871,-6.515790541993778,4
22725,54North,6500,United Kingdom BT34,SW,695,209 weeks ago,suntellite,samil solar river 3000-TL,22.0,54.244248,-6.178856,54.26569866566871,-6.515790541993778,4
13546,Lisgallon,6000,United Kingdom BT70,S,2,324 weeks ago,Hyundau,U/K,7.6,54.585671,-6.432307,54.58244267314992,-6.550822253618599,5
58234,2.75kw of northern ireland,2750,United Kingdom BT80,S,0,No Outputs,Sharp,Unknown,13.8,54.64,-6.74,54.58244267314992,-6.550822253618599,5
29060,fairyburn house,50,United Kingdom BT80,N,0,No Outputs,,Energy Monitor,13.8,54.64,-6.74,54.58244267314992,-6.550822253618599,5
20495,shedpv,440,United Kingdom BT80,S,608,222 weeks ago,Navitron 55w Framed Panel,Soladin 600,13.8,54.64,-6.74,54.58244267314992,-6.550822253618599,5
32652,Lough NeaghPV,4000,United Kingdom BT67,W,535,155 weeks ago,Eco Future ECO-250P60,Samil Power Solar River 3680TL,15.3,54.538043,-6.327017,54.58244267314992,-6.550822253618599,5
22668,Sunny Barn,6120,United Kingdom BT45,SE,14,308 weeks ago,REC 255PE,Sunny Boy 5000TL,20.4,54.76,-6.63,54.58244267314992,-6.550822253618599,5
68017,SperrinDrivePV,2400,United Kingdom BT67,N,0,No Outputs,Unknown,Samil power 3000,22.0,54.48,-6.26,54.58244267314992,-6.550822253618599,5
41656,moira,360,United Kingdom BT67,N,0,No Outputs,Sharp,SMA,22.0,54.48,-6.26,54.58244267314992,-6.550822253618599,5
42586,LargyPV,4000,United Kingdom BT29,SW,1008,Today,Perlight,Grow at 3600TLX,22.4,54.655368,-6.226736,54.58244267314992,-6.550822253618599,5
35670,Rehaghy,6500,United Kingdom BT70,SW,397,229 weeks ago,Renesola,SMA Sunnyboy 5000TL,22.7,54.51,-6.88,54.58244267314992,-6.550822253618599,5
14841,Cullenrammer,6000,United Kingdom BT70,S,335,104 weeks ago,Hyundai,Fronius v IG 6,22.7,54.51,-6.88,54.58244267314992,-6.550822253618599,5
27567,Hazel PV,6500,United Kingdom BT41,SW,0,No Outputs,Renesola ,SMA 5000tl21,24.9,54.73,-6.26,54.58244267314992,-6.550822253618599,5
31982,Antrim,4500,United Kingdom BT41,SW,1026,160 weeks ago,ET Solar ET-P660250,SMA SunnyBoy 5000TL,24.9,54.73,-6.26,54.58244267314992,-6.550822253618599,5
40365,Whirly Hill,50,United Kingdom BT46,,0,No Outputs,,Energy Monitor,6.4,54.86,-6.66,54.89915443971269,-6.5865417824130414,6
22668,Sunny Barn,6120,United Kingdom BT45,SE,14,308 weeks ago,REC 255PE,Sunny Boy 5000TL,15.7,54.76,-6.63,54.89915443971269,-6.5865417824130414,6
